Incident_Description,Attack_Type,Severity
"Detected Pass-the-Hash attack using NTLM relay",relay_attack,high
"Employee fell for inheritance scam revealing bank details",social_engineering,medium
"Log analysis shows NoSQL injection via MongoDB",NoSQL_injection,high
"API logs indicate broken object authorization",API_abuse,high
"Physical security: car tailgating at parking gate",physical_security,low
"Network monitoring shows TOR bridge usage",suspicious_activity,medium
"User workstation compromised with BlackCat ransomware",ransomware,high
"Malware analysis revealed anti-debugging tricks",malware,medium
"Email server logs show successful relay attack",relay_attack,medium
"Security assessment found JWT signature not verified",JWT_abuse,high
"Employee reported smishing about package delivery",smishing,medium
"Network scan detected Apache with directory listing",misconfiguration,low
"User account showing impossible geography logins",account_compromise,high
"API endpoint vulnerable to GraphQL DoS attack",API_abuse,medium
"Physical security: server room door found propped open",physical_security,high
"Detected SolarWinds supply chain compromise indicator",supply_chain,high
"Email containing Netflix phishing for payment info",phishing,medium
"Network traffic reveals LDAP injection success",LDAP_injection,high
"Employee laptop infected with Emotet dropper",malware,high
"Log files indicate command injection via file name",command_injection,high
"Security logs show DLL injection into lsass.exe",process_injection,high
"User reported fake Chrome security warning",scareware,low
"Network monitoring detected BGP route manipulation",BGP_hijacking,high
"Malware using timestomping to hide file dates",malware,medium
"Email gateway caught sender using look-alike domain",typosquatting,medium
"API logs show authentication bypass on admin endpoint",API_abuse,high
"Physical security: HVAC vent removed in server room",physical_security,medium
"Employee fell for lottery scam providing personal info",social_engineering,low
"User workstation showing GandCrab ransomware",ransomware,high
"Security scan found S3 bucket with public write",misconfiguration,high
"Network traffic indicates C2 via DNS TXT records",C2,high
"Email containing OneDrive phishing link",phishing,medium
"Detected DarkHotel APT targeting executive laptop",APT,high
"Log analysis revealed successful LDAP pass-back",LDAP_injection,medium
"Employee reported finding keylogger in keyboard",hardware_keylogger,high
"API endpoint exposing database schema information",information_disclosure,medium
"Physical security: window lock tampered with",physical_security,low
"User account created via race condition exploit",race_condition,medium
"Network monitoring shows mining traffic to Monero pool",cryptojacking,medium
"Malware analysis shows code cave injection technique",malware,high
"Email server being used for political spam campaign",spam,low
"Security assessment found open redirect in OAuth",open_redirect,medium
"Employee laptop compromised via watering hole attack",watering_hole,high
"Network logs indicate successful SQL map attack",SQL_injection,high
"User reported ransomware using cat photos as theme",ransomware,low
"API logs reveal timing attack on login endpoint",timing_attack,medium
"Physical security: false fire alarm during shift change",physical_security,low
"Email containing Amazon phishing about account lock",phishing,medium
"Detected living-off-the-land using bitsadmin.exe",fileless_malware,medium
"Employee fell for CEO impersonation wire fraud",BEC,high
"Network traffic shows successful MITM on WiFi",MITM,high
"Security logs indicate Mimikatz credential dump",credential_theft,high
"User workstation infected with CoinMiner malware",cryptojacking,medium
"Log files show blind XXE attack exfiltrating files",XXE,high
"API endpoint vulnerable to path traversal attack",path_traversal,high
"Physical security: someone cut network cable outside",physical_security,high
"Malware using RunPE technique for process injection",process_injection,high
"Email gateway detected homoglyph in sender domain",phishing,high
"Network scan revealed phpMyAdmin with weak password",misconfiguration,high
"Employee reported vishing call about tax audit",vishing,medium
"Security assessment found template injection flaw",template_injection,high
"User account showing brute force via credential list",credential_stuffing,medium
"Network monitoring detected ICMP tunnel for C2",covert_channel,high
"Email containing DocuSign phishing for signatures",phishing,high
"Detected attempt to exploit Citrix Bleed vulnerability",exploit,high
"Employee laptop showing persistence via scheduled task",persistence,medium
"API logs indicate GraphQL query depth attack",API_abuse,medium
"Physical security: badge cloning attempt detected",physical_security,high
"User workstation compromised with DarkSide ransomware",ransomware,high
"Network traffic reveals data staging before exfiltration",data_theft,high
"Malware analysis shows VM escape attempt",malware,high
"Email server sending investment scam messages",spam,medium
"Log analysis revealed cache poisoning success",cache_poisoning,high
"Security scan found multiple XSS in web app",XSS,high
"Employee fell for romance scam on social media",social_engineering,medium
"Network logs show lateral movement using PsExec",lateral_movement,high
"User reported fake antivirus blocking security sites",scareware,medium
"API endpoint exposing sensitive data in URLs",information_disclosure,high
"Physical security: thermal camera triggered after hours",physical_security,low
"Email containing Wells Fargo phishing for login",phishing,high
"Detected Golden SAML attack on Azure AD",SAML_attack,high
"Employee reported GPS tracker on personal vehicle",physical_security,high
"Network monitoring shows beacon to residential C2",C2,high
"Security logs reveal token replay attack success",replay_attack,high
"User workstation infected with Dharma ransomware",ransomware,high
"Malware using DLL search order hijacking",dll_hijacking,medium
"Log files indicate NoSQL injection in REST API",NoSQL_injection,high
"API logs show broken function level auth",API_abuse,high
"Physical security: lock impressioning marks found",physical_security,medium
"Network traffic indicates DNS tunneling exfiltration",data_exfiltration,high
"Email gateway caught QR code phishing attempt",phishing,medium
"Employee laptop compromised through supply chain",supply_chain,high
"Security assessment revealed SSTI vulnerability",template_injection,high
"User account locked after impossible travel alert",account_compromise,high
"Network scan detected exposed Docker daemon",misconfiguration,high
"Email containing PayPal phishing about limited account",phishing,high
"Detected Zerologon attack on domain controller",exploit,high
"Employee fell for grandparent emergency scam",social_engineering,low
"API endpoint vulnerable to XXE via file upload",XXE,high
"Physical security: pressure mat sensor malfunction",physical_security,low
"User workstation showing Conti ransomware indicators",ransomware,high
"Network monitoring detected amplification attack",DDoS,high
"Malware analysis revealed fileless WMI persistence",fileless_malware,high
"Email server configuration exposing internal IPs",information_disclosure,low
"Log analysis shows successful command injection",command_injection,high
"Security logs indicate UAC bypass attempt",privilege_escalation,medium
"Employee reported evil twin WiFi at conference",rogue_device,high
"Network traffic shows LDAP brute force attack",brute_force,medium
"User reported cursor automatically clicking ads",clickjacking,low
"API logs reveal mass assignment vulnerability",mass_assignment,medium
"Physical security: door sensor battery dead",physical_security,low
"Email containing Chase bank phishing for account",phishing,high
"Detected DCSync attack dumping NTDS.dit",AD_attack,high
"Employee laptop infected with info stealer malware",malware,high
"Network scan found Tomcat with default creds",misconfiguration,high
"Security assessment found race condition in payment",race_condition,high
"User workstation compromised with REvil ransomware",ransomware,high
"Malware using Heaven's Gate for 64-bit evasion",malware,medium
"Log files show HQL injection in search query",HQL_injection,medium
"API endpoint exposing AWS credentials in response",secret_exposure,high
"Physical security: vibration on window detected",physical_security,low
"Network monitoring shows suspicious registry changes",malware,medium
"Email gateway detected typosquatting attempt",typosquatting,medium
"Employee fell for IRS impersonation phone scam",vishing,high
"User account showing concurrent impossible logins",account_compromise,high
"Security scan revealed outdated SSL protocols",vulnerability,medium
"Network traffic indicates botnet check-in behavior",botnet,medium
"Email containing Microsoft phishing for Office 365",phishing,high
"Detected Kerberos Bronze Bit attack attempt",kerberos_attack,high
"Employee reported hidden camera in restroom",physical_security,high
"API logs show GraphQL complexity attack",API_abuse,medium
"User workstation infected with WannaCry variant",ransomware,high
"Network logs reveal SSH brute force success",brute_force,high
"Malware analysis shows anti-VM detection code",malware,medium
"Email server logs indicate spam relay abuse",spam_relay,medium
"Log analysis revealed blind boolean injection",SQL_injection,high
"Physical security: mantrap door held open alarm",physical_security,medium
"Security assessment found DOM clobbering issue",DOM_clobbering,low
"Employee laptop showing cryptocurrency miner",cryptojacking,medium
"Network monitoring detected TOR hidden service",suspicious_activity,medium
"User reported fake Windows license expiration",scareware,low
"API endpoint vulnerable to IDOR attack",IDOR,high
"Email containing UPS phishing with tracking link",phishing,medium
"Detected attempt to exploit ProxyShell chain",exploit,high
"Employee fell for prize winner notification scam",social_engineering,low
"Network traffic shows data exfiltration via SSH",data_exfiltration,high
"Security logs show successful privilege escalation",privilege_escalation,high
"User workstation compromised with Sodinokibi",ransomware,high
"Malware using process doppelganging technique",malware,high
"Log files indicate XPath injection success",XPATH_injection,high
"API logs reveal authentication bypass flaw",API_abuse,high
"Physical security: ceiling tile displaced in IT room",physical_security,medium
"Network scan found MongoDB exposed to internet",misconfiguration,high
"Email gateway caught CEO fraud attempt",BEC,high
"Employee reported laser mic pointed at office",physical_security,high
"User account locked after password spray attack",password_spraying,medium
"Security assessment revealed JWT key confusion",JWT_abuse,high
"Network monitoring shows C2 beacon via Twitter",C2,medium
"Email containing Bank of America phishing",phishing,high
"Detected living-off-the-land attack pattern",fileless_malware,high
"Employee laptop infected through fake update",malware,high
"API endpoint exposing debug information",information_disclosure,medium
"Physical security: emergency exit used after hours",physical_security,low
"User workstation showing Petya ransomware",ransomware,high
"Network traffic indicates successful ARP poisoning",ARP_poisoning,high
"Malware analysis revealed rootkit in MBR",rootkit,high
"Email server being used for crypto scams",spam,medium
"Log analysis shows OOB XXE data theft",XXE,high
"Security logs indicate lateral RDP movement",lateral_movement,high
"Employee fell for technical support refund fraud",social_engineering,medium
"Network scan detected Java deserialization flaw",vulnerability,high
"User reported fake virus popup with phone number",scareware,low
"API logs show broken access control",API_abuse,high
"Physical security: window sensor offline",physical_security,low
"Email containing Apple ID phishing attempt",phishing,medium
"Detected Golden Ticket with 20-year lifetime",kerberos_attack,high
"Employee reported USB dead drop exchange",espionage,high
"Network monitoring detected mining pool DNS",cryptojacking,low
"Security assessment found prototype pollution",prototype_pollution,medium
"User workstation infected with BlackMatter",ransomware,high
"Malware using API hooking for keylogging",malware,high
"Log files show successful ORM injection",ORM_injection,high
"API endpoint vulnerable to timing attack",timing_attack,medium
"Physical security: safe combination written nearby",physical_security,medium
"Network traffic shows VLAN hopping success",VLAN_hopping,high
"Email gateway detected phish using punycode",phishing,high
"Employee laptop compromised via browser exploit",exploit,high
"User account showing distributed login attempts",brute_force,medium
"Security scan revealed Shellshock vulnerability",vulnerability,high
"Network logs indicate C2 via Slack API",C2,medium
"Email containing Google phishing for account",phishing,medium
"Detected DLL injection into Explorer.exe",process_injection,high
"Employee fell for lottery winner email scam",social_engineering,low
"API logs reveal GraphQL introspection enabled",API_exposure,low
"Physical security: badge reader wires exposed",physical_security,high
"User workstation showing LockBit ransomware",ransomware,high
"Network monitoring shows DNS cache poisoning",DNS_poisoning,high
"Malware analysis revealed packed executable",malware,medium
"Email server sending pharma spam campaigns",spam,low
"Log analysis indicates command injection success",command_injection,high
"Security logs show Mimikatz execution detected",credential_theft,high
"Employee reported evil maid attack at hotel",physical_security,high
"Network traffic reveals MITM certificate swap",MITM,high
"User reported ransomware with anime theme",ransomware,low
"API endpoint exposing user enumeration",information_disclosure,medium
"Physical security: motion in server room at 4am",physical_security,medium
"Email containing LinkedIn phishing message",phishing,medium
"Detected attempt to exploit log4j RCE",exploit,high
"Employee laptop infected with banking trojan",trojan,high
"Network scan found exposed Kubernetes dashboard",misconfiguration,high
"Security assessment revealed SSRF vulnerability",SSRF,high
"User account compromise via credential stuffing",credential_stuffing,high
"Network monitoring detected botnet traffic",botnet,high
"Malware using WMI for fileless persistence",fileless_malware,high
"Email gateway caught BEC wire transfer fraud",BEC,high
"API logs show authorization bypass via IDOR",IDOR,high
"Physical security: forced entry on equipment closet",physical_security,high
"Employee fell for COVID contact tracing scam",social_engineering,medium
"Log files reveal successful SQL injection",SQL_injection,high
"User workstation compromised with Ryuk",ransomware,high
"Network traffic indicates DNS exfiltration",data_exfiltration,high
"Security logs reveal Pass-the-Hash success",lateral_movement,high
"Email containing Instagram phishing link",phishing,medium
"Detected Skeleton Key on domain controller",AD_attack,high
"Employee reported Bluetooth skimmer at ATM",skimming,high
"API endpoint vulnerable to XXE attack",XXE,high
"Physical security: camera showing static image",physical_security,high
"User reported fake Flash update malware",malware,medium
"Network monitoring shows TOR exit node usage",suspicious_activity,medium
"Malware analysis revealed VM evasion",malware,medium
"Email server configuration allows spoofing",misconfiguration,medium
"Log analysis shows NoSQL injection success",NoSQL_injection,high
"Security scan found default Tomcat password",misconfiguration,high
"Employee laptop showing ransomware countdown",ransomware,high
"Network logs reveal LDAP injection attempt",LDAP_injection,medium
"User account locked after brute force",brute_force,medium
"API logs indicate rate limit bypass",API_abuse,medium
"Physical security: lock cylinder damaged",physical_security,high
"Email containing Wells Fargo phishing",phishing,high
"Detected Golden SAML persistence method",SAML_attack,high
"Employee fell for inheritance scam email",social_engineering,low
"Network traffic shows covert DNS channel",covert_channel,high
"Security assessment found path traversal",path_traversal,medium
"User workstation infected with CryptoWall",ransomware,high
"Malware using process hollowing evasion",process_hollowing,high
"Log files show command injection via filename",command_injection,high
"API endpoint exposing internal endpoints",API_exposure,medium
"Physical security: door held open too long",physical_security,low
"Network monitoring detected amplification DDoS",DDoS,high
"Email gateway caught phishing with attachment",phishing,high
"Employee reported vishing for VPN credentials",vishing,high
"User account showing session hijacking",session_hijacking,high
"Security logs indicate UAC bypass success",privilege_escalation,medium
"Network scan revealed exposed Redis server",misconfiguration,high
"Email containing Netflix phishing attempt",phishing,medium
"Detected PrintNightmare exploitation",exploit,high
"Employee laptop compromised via USB malware",malware,high
"API logs show mass data extraction",data_scraping,medium
"Physical security: server room door ajar",physical_security,high
"User workstation showing Cerber ransomware",ransomware,high
"Network traffic indicates BGP hijacking",BGP_hijacking,high
"Malware analysis shows rootkit behavior",rootkit,high
"Email server being used for spam relay",spam_relay,medium
"Log analysis revealed SSTI exploitation",template_injection,high
"Security assessment found JWT vulnerability",JWT_abuse,high
"Employee fell for tech support popup scam",social_engineering,medium
"Network monitoring shows mining pool traffic",cryptojacking,medium
"User reported fake antivirus alert",scareware,low
"API endpoint vulnerable to GraphQL attack",API_abuse,medium
"Physical security: tamper seal broken",physical_security,high
"Email containing PayPal phishing link",phishing,high
"Detected Kerberoasting attack in progress",kerberos_attack,high
"Employee reported GPS tracker on laptop",physical_security,medium
"Network logs show successful MITM attack",MITM,high
"Security logs reveal credential dumping",credential_theft,high
"User workstation infected with GandCrab",ransomware,high
"Malware using DGA for C2 domains",malware,high
"Log files indicate blind XXE success",XXE,high
"API logs show broken authentication",API_abuse,high
"Physical security: false motion alarm",physical_security,low
"Network traffic shows data staging",data_theft,high
"Email gateway detected sender spoofing",email_spoofing,medium
"Employee laptop showing APT indicators",APT,high
"User account compromise via phishing",account_compromise,high
"Security scan found SQLi vulnerability",SQL_injection,high
"Network monitoring detected C2 beacon",C2,high
"Email containing Amazon phishing scam",phishing,medium
"Detected DCShadow attack attempt",AD_attack,high
"Employee fell for survey scam",social_engineering,low
"API endpoint exposing user data",information_disclosure,high
"Physical security: lock picked on cabinet",physical_security,medium
"User workstation showing NotPetya",ransomware,high
"Network logs reveal DNS tunneling",data_exfiltration,high
"Malware analysis shows anti-debug",malware,medium
"Email server sending crypto scams",spam,medium
"Log analysis revealed RCE success",RCE,high
"Security assessment found IDOR flaw",IDOR,high
"Employee reported evil twin WiFi",rogue_device,high
"Network traffic indicates ARP spoof",ARP_spoofing,medium
"User reported ransomware message",ransomware,high
"API logs show auth bypass",API_abuse,high
"Physical security: window broken",physical_security,high
"Email containing Chase phishing",phishing,high
"Detected Pass-the-Ticket attack",kerberos_attack,high
"Employee laptop with keylogger",hardware_keylogger,high
"Network monitoring shows botnet",botnet,high
"Security logs show lateral movement",lateral_movement,high
"User workstation has cryptominer",cryptojacking,medium
"Malware using fileless technique",fileless_malware,high
"Log files show NoSQL injection",NoSQL_injection,high
"API endpoint has XXE vulnerability",XXE,high
"Physical security: alarm disabled",physical_security,high
